sit-out	TOLERATE ABSTAIN_AVOID_REFRAIN
take-a-joke	TOLERATE
accept	TOLERATE AGREE_ACCEPT ACCEPT HAVE_SEX BELIEVE RECEIVE RETAIN_KEEP_SAVE_MONEY AUTHORIZE_ADMIT PAY
live-with	TOLERATE
swallow	TOLERATE CONQUER BELIEVE RETAIN_KEEP_SAVE_MONEY SPEAK ENCLOSE_WRAP EAT_BITE
digest	TOLERATE SUMMARIZE LEARN EAT_BITE
endure	TOLERATE FACE_CHALLENGE CONTINUE UNDERGO_EXPERIENCE
stick-out	TOLERATE EXIST_WITH_FEATURE BULGE_OUT
stomach	TOLERATE DISLIKE
bear	TOLERATE POSSESS GIVE_BIRTH STABILIZE_SUPPORT_PHYSICALLY CARRY_TRANSPORT PAY EXIST_WITH_FEATURE DRESS_WEAR CONTAIN BEHAVE
stand	TOLERATE REMAIN FOLLOW_SUPPORT_SPONSOR_FUND RESIST STOP PUT_APPLY_PLACE_PAVE HAVE_SEX STAY_DWELL EXIST_WITH_FEATURE
tolerate	TOLERATE AUTHORIZE_ADMIT RESIST
support	TOLERATE FOLLOW_SUPPORT_SPONSOR_FUND STABILIZE_SUPPORT_PHYSICALLY PERFORM ARGUE_IN_DEFENSE HELP_HEAL_CARE_CURE ATTEND PROVE STRENGTHEN_MAKE_RESISTANT
brook	TOLERATE
abide	TOLERATE STAY_DWELL
suffer	TOLERATE WORSEN HURT_HARM_ACHE UNDERGO_EXPERIENCE EXPERIENCE_MENTAL_STATE
put-up	TOLERATE PRESERVE BUILD ORGANIZE LOAD_PROVIDE_CHARGE_FURNISH STAY_DWELL PROPOSE PUT_APPLY_PLACE_PAVE OFFER
stand-for	TOLERATE MEAN REPRESENT
hold-still-for	TOLERATE
go-by	OVERCOME_SURPASS OBEY SPEND_TIME_PASS_TIME NAME
take-orders	ASSIGN OBEY
obey	OBEY
comply	OBEY
follow	COME_AFTER_FOLLOW_IN_TIME OBEY UNDERSTAND FOLLOW_SUPPORT_SPONSOR_FUND GO_FORWARD OVERCOME_SURPASS DERIVE PERFORM IMPLY WORK_AS INFORM SIMULATE HARMONIZE FOLLOW_IN_SPACE WATCH_LOOK_OUT
abide-by	LIKE OBEY
toe-the-line	OBEY
bunker	CARRY_TRANSPORT HIT FILL
airmail	CARRY_TRANSPORT
carry	POSSESS SHOOT_LAUNCH_PROPEL TRANSMIT FOLLOW_SUPPORT_SPONSOR_FUND FUND RESIST CARRY_TRANSPORT PERFORM FEED COMPENSATE CONTAIN STABILIZE_SUPPORT_PHYSICALLY INCLUDE_AS SHOW IMPLY ARRIVE CONQUER WIN BEHAVE CHANGE_SWITCH GIVE_BIRTH EXTEND BURDEN_BEAR PERSUADE SUCCEED CIRCULATE_SPREAD_DISTRIBUTE REACH_QUANTITY/QUALITY
pack	INSERT CARRY_TRANSPORT PRESS_PUSH_FOLD ESTABLISH TRAVEL AMASS FILL ENCLOSE_WRAP CLOSE
