ooh	SPEAK
aah	SPEAK
éblouir	LIGHT_SHINE BLIND
cegar	CAUSE-MENTAL-STATE BLIND SEE
abacinate	BLIND
renunciar	GIVE-UP_ABOLISH_ABANDON CHANGE-HANDS LIBERATE_ALLOW_AFFORD REFUSE SPEAK CHANGE_SWITCH DISCARD RESIGN_RETIRE
abandonar	STOP FINISH_CONCLUDE_END GIVE-UP_ABOLISH_ABANDON CANCEL_ELIMINATE FAIL_LOSE BETRAY MOVE-BACK LEAVE_DEPART_RUN-AWAY CHANGE_SWITCH DISCARD LEAVE-BEHIND GIVE_GIFT FRUSTRATE_DISAPPOINT
abandon	LEAVE_DEPART_RUN-AWAY GIVE-UP_ABOLISH_ABANDON CHANGE_SWITCH DISCARD
give_up	FINISH_CONCLUDE_END GIVE-UP_ABOLISH_ABANDON CHANGE-HANDS EXEMPT RESIGN_RETIRE CHANGE_SWITCH LIBERATE_ALLOW_AFFORD GIVE_GIFT
rendirse	GIVE-UP_ABOLISH_ABANDON RECOGNIZE_ADMIT_IDENTIFY
vacate	RESIGN_RETIRE CANCEL_ELIMINATE LEAVE_DEPART_RUN-AWAY
desalojar	REMOVE_TAKE-AWAY_KIDNAP EMPTY_UNLOAD LEAVE_DEPART_RUN-AWAY
empty	EMPTY_UNLOAD EXCRETE LEAVE_DEPART_RUN-AWAY
evacuar	REMOVE_TAKE-AWAY_KIDNAP MOVE-SOMETHING EMPTY_UNLOAD EXCRETE LEAVE_DEPART_RUN-AWAY
desolate	POPULATE GIVE-UP_ABOLISH_ABANDON DESTROY
desamparar	GIVE-UP_ABOLISH_ABANDON
desertar	BETRAY GIVE-UP_ABOLISH_ABANDON LEAVE_DEPART_RUN-AWAY
dejar	REMOVE_TAKE-AWAY_KIDNAP STOP FINISH_CONCLUDE_END GIVE-UP_ABOLISH_ABANDON ABSTAIN_AVOID_REFRAIN CHANGE-HANDS RESIGN_RETIRE RETAIN_KEEP_SAVE-MONEY CANCEL_ELIMINATE LEND AUTHORIZE_ADMIT BETRAY EMPTY_UNLOAD LEAVE-BEHIND LEAVE_DEPART_RUN-AWAY LIBERATE_ALLOW_AFFORD PUT_APPLY_PLACE_PAVE GIVE_GIFT RESULT_CONSEQUENCE
desert	BETRAY GIVE-UP_ABOLISH_ABANDON LEAVE_DEPART_RUN-AWAY
forsake	GIVE-UP_ABOLISH_ABANDON
abandonner	DISCARD REMOVE_TAKE-AWAY_KIDNAP STOP GIVE-UP_ABOLISH_ABANDON
quiter	GIVE-UP_ABOLISH_ABANDON
desasistir	GIVE-UP_ABOLISH_ABANDON
apocar	CHANGE_SWITCH DOWNPLAY_HUMILIATE
